code,score
Afghanistan,-
Albania,21.73611
Algeria,21.73611
Andorra,21.73611
Angola,21.73611
Antigua and Barbuda,21.73611
Argentina,19.21825
Armenia,22.843055
Australia,20.83333
Austria,19.06954
Azerbaijan,25.41667
Bahamas,25.41667
Bahrain,25.41667
Bangladesh,25.41667
Barbados,25.41667
Belarus,19.16667
Belgium,19.16667
Belize,19.16667
Benin,19.16667
Bhutan,14.131945
Bolivia (Plurinational State of),14.131945
Bosnia and Herzegovina,14.131945
Botswana,14.131945
Brazil,14.131945
Brunei Darussalam,14.131945
Bulgaria,14.131945
Burkina Faso,14.131945
Burundi,14.131945
Cabo Verde,14.131945
Cambodia,14.131945
Cameroon,14.131945
Canada,15.69444333
Central African Republic,15.69444333
Chad,15.69444333
Chile,19.015275
China,15.82086
Colombia,11.28109
Comoros,11.28109
Congo,11.28109
Cook Islands,11.28109
Costa Rica,22.14571
Côte d'Ivoire,22.14571
Croatia,22.14571
Cuba,21
Cyprus,21
Czechia,21
Democratic People's Republic of Korea,21
Democratic Republic of the Congo,21
Denmark,15.625
Djibouti,15.625
Dominica,15.625
Dominican Republic,16.70887
Ecuador,19.74505
Egypt,19.74505
El Salvador,22.36111
Equatorial Guinea,22.36111
Eritrea,22.36111
Estonia,22.36111
Ethiopia,22.36111
Fiji,22.36111
Finland,15.20417
France,15.77314
Gabon,15.77314
Gambia,15.77314
Georgia,15.77314
Germany,15.77314
Ghana,15.77314
Greece,18.125
Grenada,18.125
Guatemala,18.624875
Guinea,18.624875
Guinea-Bissau,18.624875
Guyana,18.624875
Haiti,18.624875
Honduras,17.29571
Hungary,17.27674
Iceland,17.27674
India,17.27674
Indonesia,17.27674
Iran (Islamic Republic of),17.27674
Iraq,24.09722
Ireland,24.09722
Israel,24.09722
Italy,20.75
Jamaica,20.75
Japan,15.43981667
Jordan,15.43981667
Kazakhstan,20.71759
Kenya,20.71759
Kiribati,20.71759
Kuwait,20.71759
Kyrgyzstan,14.40868
Lao People's Democratic Republic,11.47904667
Latvia,11.47904667
Lebanon,11.47904667
Lesotho,11.47904667
Liberia,6.29234
Libya,6.29234
Lithuania,6.29234
Luxembourg,14.44444
Madagascar,14.44444
Malawi,14.44444
Malaysia,14.44444
Maldives,14.44444
Mali,14.44444
Malta,14.44444
Marshall Islands,14.44444
Mauritania,14.44444
Mauritius,14.44444
Mexico,14.44444
Micronesia (Federated States of),14.44444
Mongolia,19.14574
Montenegro,8.68056
Morocco,8.68056
Mozambique,8.68056
Myanmar,8.68056
Namibia,8.68056
Nauru,8.68056
Nepal,8.68056
Netherlands,15.83333
New Zealand,15.83333
Nicaragua,15.83333
Niger,15.83333
Nigeria,15.83333
Niue,15.83333
Norway,15.30833
Oman,18.88889
Pakistan,19.86111
Palau,19.86111
Panama,17.95164
Papua New Guinea,17.95164
Paraguay,17.95164
Peru,23.56031
Philippines,23.56031
Poland,19.027085
Portugal,17.81135
Qatar,14.52502
Republic of Korea,14.52502
Republic of Moldova,14.52502
Romania,14.52502
Russian Federation,18.40278
Rwanda,21.48037
Saint Kitts and Nevis,21.48037
Saint Lucia,21.48037
Saint Vincent and the Grenadines,21.48037
Samoa,21.48037
San Marino,21.48037
Sao Tome and Principe,21.48037
Saudi Arabia,21.48037
Senegal,21.48037
Serbia,19.7022
Seychelles,19.7022
Sierra Leone,19.7022
Singapore,19.7022
Slovakia,19.7022
Slovenia,19.7022
Solomon Islands,19.7022
Somalia,19.7022
South Africa,19.7022
South Sudan,19.7022
Spain,19.7022
Sri Lanka,19.7022
Sudan,19.7022
Suriname,19.7022
Swaziland,19.7022
Sweden,16.04201
Switzerland,16.04201
Syrian Arab Republic,16.04201
Tajikistan,16.04201
Thailand,12.305555
The former Yugoslav Republic of Macedonia,12.305555
Timor-Leste,12.305555
Togo,12.305555
Tonga,12.305555
Trinidad and Tobago,12.305555
Tunisia,21.94444
Turkey,21.94444
Turkmenistan,16.77083
Tuvalu,16.77083
Uganda,14.58333
Ukraine,14.58333
United Arab Emirates,14.58333
United Kingdom,14.58333
United Republic of Tanzania,14.58333
United States of America,14.58333
Uruguay,22.54154
Uzbekistan,15.73958375
Vanuatu,15.73958375
Venezuela (Bolivarian Republic of),15.73958375
Viet Nam,15.73958375
Yemen,15.73958375
Zambia,15.73958375
Zimbabwe,15.73958375
