code,score,free hours,hours lost
Afghanistan,-,-,
Albania,21.73611,18.7833336,5.2166664
Algeria,21.73611,18.7833336,5.2166664
Andorra,21.73611,18.7833336,5.2166664
Angola,21.73611,18.7833336,5.2166664
Antigua and Barbuda,21.73611,18.7833336,5.2166664
Argentina,19.21825,19.38762,4.61238
Armenia,22.843055,18.5176668,5.4823332
Australia,20.83333,19.0000008,4.9999992
Austria,19.06954,19.4233104,4.5766896
Azerbaijan,25.41667,17.8999992,6.1000008
Bahamas,25.41667,17.8999992,6.1000008
Bahrain,25.41667,17.8999992,6.1000008
Bangladesh,25.41667,17.8999992,6.1000008
Barbados,25.41667,17.8999992,6.1000008
Belarus,19.16667,19.3999992,4.6000008
Belgium,19.16667,19.3999992,4.6000008
Belize,19.16667,19.3999992,4.6000008
Benin,19.16667,19.3999992,4.6000008
Bhutan,14.131945,20.6083332,3.3916668
Bolivia (Plurinational State of),14.131945,20.6083332,3.3916668
Bosnia and Herzegovina,14.131945,20.6083332,3.3916668
Botswana,14.131945,20.6083332,3.3916668
Brazil,14.131945,20.6083332,3.3916668
Brunei Darussalam,14.131945,20.6083332,3.3916668
Bulgaria,14.131945,20.6083332,3.3916668
Burkina Faso,14.131945,20.6083332,3.3916668
Burundi,14.131945,20.6083332,3.3916668
Cabo Verde,14.131945,20.6083332,3.3916668
Cambodia,14.131945,20.6083332,3.3916668
Cameroon,14.131945,20.6083332,3.3916668
Canada,15.69444333,20.2333336,3.766666399
Central African Republic,15.69444333,20.2333336,3.766666399
Chad,15.69444333,20.2333336,3.766666399
Chile,19.015275,19.436334,4.563666
China,15.82086,20.2029936,3.7970064
Colombia,11.28109,21.2925384,2.7074616
Comoros,11.28109,21.2925384,2.7074616
Congo,11.28109,21.2925384,2.7074616
Cook Islands,11.28109,21.2925384,2.7074616
Costa Rica,22.14571,18.6850296,5.3149704
Côte d'Ivoire,22.14571,18.6850296,5.3149704
Croatia,22.14571,18.6850296,5.3149704
Cuba,21,18.96,5.04
Cyprus,21,18.96,5.04
Czechia,21,18.96,5.04
Democratic People's Republic of Korea,21,18.96,5.04
Democratic Republic of the Congo,21,18.96,5.04
Denmark,15.625,20.25,3.75
Djibouti,15.625,20.25,3.75
Dominica,15.625,20.25,3.75
Dominican Republic,16.70887,19.9898712,4.0101288
Ecuador,19.74505,19.261188,4.738812
Egypt,19.74505,19.261188,4.738812
El Salvador,22.36111,18.6333336,5.3666664
Equatorial Guinea,22.36111,18.6333336,5.3666664
Eritrea,22.36111,18.6333336,5.3666664
Estonia,22.36111,18.6333336,5.3666664
Ethiopia,22.36111,18.6333336,5.3666664
Fiji,22.36111,18.6333336,5.3666664
Finland,15.20417,20.3509992,3.6490008
France,15.77314,20.2144464,3.7855536
Gabon,15.77314,20.2144464,3.7855536
Gambia,15.77314,20.2144464,3.7855536
Georgia,15.77314,20.2144464,3.7855536
Germany,15.77314,20.2144464,3.7855536
Ghana,15.77314,20.2144464,3.7855536
Greece,18.125,19.65,4.35
Grenada,18.125,19.65,4.35
Guatemala,18.624875,19.53003,4.46997
Guinea,18.624875,19.53003,4.46997
Guinea-Bissau,18.624875,19.53003,4.46997
Guyana,18.624875,19.53003,4.46997
Haiti,18.624875,19.53003,4.46997
Honduras,17.29571,19.8490296,4.1509704
Hungary,17.27674,19.8535824,4.1464176
Iceland,17.27674,19.8535824,4.1464176
India,17.27674,19.8535824,4.1464176
Indonesia,17.27674,19.8535824,4.1464176
Iran (Islamic Republic of),17.27674,19.8535824,4.1464176
Iraq,24.09722,18.2166672,5.7833328
Ireland,24.09722,18.2166672,5.7833328
Israel,24.09722,18.2166672,5.7833328
Italy,20.75,19.02,4.98
Jamaica,20.75,19.02,4.98
Japan,15.43981667,20.294444,3.705556001
Jordan,15.43981667,20.294444,3.705556001
Kazakhstan,20.71759,19.0277784,4.9722216
Kenya,20.71759,19.0277784,4.9722216
Kiribati,20.71759,19.0277784,4.9722216
Kuwait,20.71759,19.0277784,4.9722216
Kyrgyzstan,14.40868,20.5419168,3.4580832
Lao People's Democratic Republic,11.47904667,21.2450288,2.754971201
Latvia,11.47904667,21.2450288,2.754971201
Lebanon,11.47904667,21.2450288,2.754971201
Lesotho,11.47904667,21.2450288,2.754971201
Liberia,6.29234,22.4898384,1.5101616
Libya,6.29234,22.4898384,1.5101616
Lithuania,6.29234,22.4898384,1.5101616
Luxembourg,14.44444,20.5333344,3.4666656
Madagascar,14.44444,20.5333344,3.4666656
Malawi,14.44444,20.5333344,3.4666656
Malaysia,14.44444,20.5333344,3.4666656
Maldives,14.44444,20.5333344,3.4666656
Mali,14.44444,20.5333344,3.4666656
Malta,14.44444,20.5333344,3.4666656
Marshall Islands,14.44444,20.5333344,3.4666656
Mauritania,14.44444,20.5333344,3.4666656
Mauritius,14.44444,20.5333344,3.4666656
Mexico,14.44444,20.5333344,3.4666656
Micronesia (Federated States of),14.44444,20.5333344,3.4666656
Mongolia,19.14574,19.4050224,4.5949776
Montenegro,8.68056,21.9166656,2.0833344
Morocco,8.68056,21.9166656,2.0833344
Mozambique,8.68056,21.9166656,2.0833344
Myanmar,8.68056,21.9166656,2.0833344
Namibia,8.68056,21.9166656,2.0833344
Nauru,8.68056,21.9166656,2.0833344
Nepal,8.68056,21.9166656,2.0833344
Netherlands,15.83333,20.2000008,3.7999992
New Zealand,15.83333,20.2000008,3.7999992
Nicaragua,15.83333,20.2000008,3.7999992
Niger,15.83333,20.2000008,3.7999992
Nigeria,15.83333,20.2000008,3.7999992
Niue,15.83333,20.2000008,3.7999992
Norway,15.30833,20.3260008,3.6739992
Oman,18.88889,19.4666664,4.5333336
Pakistan,19.86111,19.2333336,4.7666664
Palau,19.86111,19.2333336,4.7666664
Panama,17.95164,19.6916064,4.3083936
Papua New Guinea,17.95164,19.6916064,4.3083936
Paraguay,17.95164,19.6916064,4.3083936
Peru,23.56031,18.3455256,5.6544744
Philippines,23.56031,18.3455256,5.6544744
Poland,19.027085,19.4334996,4.5665004
Portugal,17.81135,19.725276,4.274724
Qatar,14.52502,20.5139952,3.4860048
Republic of Korea,14.52502,20.5139952,3.4860048
Republic of Moldova,14.52502,20.5139952,3.4860048
Romania,14.52502,20.5139952,3.4860048
Russian Federation,18.40278,19.5833328,4.4166672
Rwanda,21.48037,18.8447112,5.1552888
Saint Kitts and Nevis,21.48037,18.8447112,5.1552888
Saint Lucia,21.48037,18.8447112,5.1552888
Saint Vincent and the Grenadines,21.48037,18.8447112,5.1552888
Samoa,21.48037,18.8447112,5.1552888
San Marino,21.48037,18.8447112,5.1552888
Sao Tome and Principe,21.48037,18.8447112,5.1552888
Saudi Arabia,21.48037,18.8447112,5.1552888
Senegal,21.48037,18.8447112,5.1552888
Serbia,19.7022,19.271472,4.728528
Seychelles,19.7022,19.271472,4.728528
Sierra Leone,19.7022,19.271472,4.728528
Singapore,19.7022,19.271472,4.728528
Slovakia,19.7022,19.271472,4.728528
Slovenia,19.7022,19.271472,4.728528
Solomon Islands,19.7022,19.271472,4.728528
Somalia,19.7022,19.271472,4.728528
South Africa,19.7022,19.271472,4.728528
South Sudan,19.7022,19.271472,4.728528
Spain,19.7022,19.271472,4.728528
Sri Lanka,19.7022,19.271472,4.728528
Sudan,19.7022,19.271472,4.728528
Suriname,19.7022,19.271472,4.728528
Swaziland,19.7022,19.271472,4.728528
Sweden,16.04201,20.1499176,3.8500824
Switzerland,16.04201,20.1499176,3.8500824
Syrian Arab Republic,16.04201,20.1499176,3.8500824
Tajikistan,16.04201,20.1499176,3.8500824
Thailand,12.305555,21.0466668,2.9533332
The former Yugoslav Republic of Macedonia,12.305555,21.0466668,2.9533332
Timor-Leste,12.305555,21.0466668,2.9533332
Togo,12.305555,21.0466668,2.9533332
Tonga,12.305555,21.0466668,2.9533332
Trinidad and Tobago,12.305555,21.0466668,2.9533332
Tunisia,21.94444,18.7333344,5.2666656
Turkey,21.94444,18.7333344,5.2666656
Turkmenistan,16.77083,19.9750008,4.0249992
Tuvalu,16.77083,19.9750008,4.0249992
Uganda,14.58333,20.5000008,3.4999992
Ukraine,14.58333,20.5000008,3.4999992
United Arab Emirates,14.58333,20.5000008,3.4999992
United Kingdom,14.58333,20.5000008,3.4999992
United Republic of Tanzania,14.58333,20.5000008,3.4999992
United States of America,14.58333,20.5000008,3.4999992
Uruguay,22.54154,18.5900304,5.4099696
Uzbekistan,15.73958375,20.2224999,3.7775001
Vanuatu,15.73958375,20.2224999,3.7775001
Venezuela (Bolivarian Republic of),15.73958375,20.2224999,3.7775001
Viet Nam,15.73958375,20.2224999,3.7775001
Yemen,15.73958375,20.2224999,3.7775001
Zambia,15.73958375,20.2224999,3.7775001
Zimbabwe,15.73958375,20.2224999,3.7775001
